HeaderNo,Description,file_name,default_table
H0301,Location_data_file,_WASL4_COLL,
H0302,Lithology_data_file,_WADL4_GEO,
H0303,Assay_data_file,_WADG4_ASS,
H0304,Survey_data_file,_WADS4_SURV,
H0305,Point_Assay_data_file,_WADG4_SASS,
H0310,Water_data_file,_WADL4_WATER,
H0313,Alteration_data_file,_WADL4_ALT,
H0314,Magsus_data_file,_WADL4_MAGSUS,
H0315,Vein_data_file,_WADL4_VEIN,
H0316,Recovery_data_file,_WADL4_REC,
H0317,Weathering_data_file,_WADL4_WEATH,
H0318,Downhole_QAQC_data_file,_WAQG4_DQAQC,
H0319,Point_QAQC_data_file,_WAQG4_SQAQC,
H0320,Other_data_file,_WASL4_META,
H0321,XRF_data_file,_WADG4_XRFASS,
H0322,PTXRF_data_file,_WADG4_PTXRFASS,
H0323,Point_Samp_data_file,_WASG4_PT_SAMP,
H0324,Point_Samp_QC-data_file,_WASG4_PT_Samp_QC,
H0325,Point_Assay_QC_data_file,_WASG4_PASS_QC,
